"filename", "language", "JSON", "Markdown", "YAML", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "CSS", "XML", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ColorPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 3, 37
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ColorSiberbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 4, 5, 290
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 12, 9, 290
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\FilterSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 23, 4, 219
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\FontSizeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 62
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageSiderbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 9, 4, 105
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 4, 1, 185
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ShapeSidle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 5, 77
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ShapeTool.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 2, 80
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\SiderBarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\StokeWidth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 2, 47
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\TextSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ToolSiberbarClose.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\ToolSiderbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"f:\study\design\canvas\apps\ljh-design\components\EditComponents\Tools.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 392, 0, 0, 0, 3, 4, 399
"f:\study\design\canvas\apps\ljh-design\components\Sign\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 5, 153
"f:\study\design\canvas\apps\ljh-design\components\shadui-Components\Tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 2, 45
"f:\study\design\canvas\apps\ljh-design\components\ui\Avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"f:\study\design\canvas\apps\ljh-design\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 6, 64
"f:\study\design\canvas\apps\ljh-design\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 9, 100
"f:\study\design\canvas\apps\ljh-design\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 5, 32
"f:\study\design\canvas\apps\ljh-design\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 3, 20, 239
"f:\study\design\canvas\apps\ljh-design\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 5, 27
"f:\study\design\canvas\apps\ljh-design\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"f:\study\design\canvas\apps\ljh-design\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 8, 65
"f:\study\design\canvas\apps\ljh-design\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 6, 14, 190
"f:\study\design\canvas\apps\ljh-design\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"f:\study\design\canvas\apps\ljh-design\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"f:\study\design\canvas\apps\ljh-design\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 9, 38
"f:\study\design\canvas\apps\ljh-design\database\supbash.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\ljh-design\hook\useCanvas.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 6, 73
"f:\study\design\canvas\apps\ljh-design\hook\useCanvasEvent.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 7, 3, 62
"f:\study\design\canvas\apps\ljh-design\hook\useCliph.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"f:\study\design\canvas\apps\ljh-design\hook\useHistory.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 10, 4, 71
"f:\study\design\canvas\apps\ljh-design\hook\useKeyBoard.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
"f:\study\design\canvas\apps\ljh-design\hook\useResponse.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 12, 5, 79
"f:\study\design\canvas\apps\ljh-design\hook\useWindowEvent.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"f:\study\design\canvas\apps\ljh-design\lib\react-query\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\study\design\canvas\apps\ljh-design\lib\react-query\useSignUp.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 3, 24
"f:\study\design\canvas\apps\ljh-design\lib\sign\index.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"f:\study\design\canvas\apps\ljh-design\lib\types\index.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"f:\study\design\canvas\apps\ljh-design\lib\unsplash.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"f:\study\design\canvas\apps\ljh-design\lib\utils.ts", "TypeScript", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 28, 5, 188
"f:\study\design\canvas\apps\ljh-design\middleware.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 1, 19
"f:\study\design\canvas\apps\ljh-design\next.config.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"f:\study\design\canvas\apps\ljh-design\package.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 81
"f:\study\design\canvas\apps\ljh-design\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"f:\study\design\canvas\apps\ljh-design\public.d.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\study\design\canvas\apps\ljh-design\store\EditorStore.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"f:\study\design\canvas\apps\ljh-design\store\editor.ts", "TypeScript", 0, 0, 0, 680, 0, 0, 0, 0, 0, 0, 37, 13, 730
"f:\study\design\canvas\apps\ljh-design\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\study\design\canvas\apps\ljh-design\tailwind.config.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 64
"f:\study\design\canvas\apps\ljh-design\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"f:\study\design\canvas\apps\ljh-design\types\Edit.ts", "TypeScript", 0, 0, 0, 821, 0, 0, 0, 0, 0, 0, 8, 11, 840
"f:\study\design\canvas\apps\ljh-design\types\user.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\study\design\canvas\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"f:\study\design\canvas\pnpm-lock.yaml", "YAML", 0, 0, 6813, 0, 0, 0, 0, 0, 0, 0, 0, 1631, 8444
"f:\study\design\canvas\pnpm-workspace.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\study\design\canvas\turbo.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 271, 67, 6816, 2404, 57, 129, 5513, 168, 16, 20, 245, 2250, 17956
