"filename", "language", "JavaScript", "HTML", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "CSS", "Markdown", "XML", "comment", "blank", "total"
"f:\study\design\canvas\apps\jebet\src\page\dashboard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 63, 8, 170
"f:\study\design\canvas\apps\jebet\src\page\dashboard\join\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"f:\study\design\canvas\apps\jebet\src\page\dashboard\member\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"f:\study\design\canvas\apps\jebet\src\page\dashboard\project\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 2, 2, 49
"f:\study\design\canvas\apps\jebet\src\page\dashboard\project\setting.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"f:\study\design\canvas\apps\jebet\src\page\dashboard\project\task\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 4, 28
"f:\study\design\canvas\apps\jebet\src\page\dashboard\setting\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"f:\study\design\canvas\apps\jebet\src\page\dashboard\workspace\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 3, 52
"f:\study\design\canvas\apps\jebet\src\page\dashboard\workspace\setting.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 4, 33
"f:\study\design\canvas\apps\jebet\src\page\error\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\jebet\src\page\suspense\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"f:\study\design\canvas\apps\jebet\src\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 202, 0, 0, 0, 0, 1, 2, 205
"f:\study\design\canvas\apps\jebet\src\server\hooks\board.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 25, 9, 198
"f:\study\design\canvas\apps\jebet\src\server\hooks\project.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 15, 5, 105
"f:\study\design\canvas\apps\jebet\src\server\hooks\tasks.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 14, 5, 119
"f:\study\design\canvas\apps\jebet\src\server\hooks\user.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 12, 5, 99
"f:\study\design\canvas\apps\jebet\src\server\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"f:\study\design\canvas\apps\jebet\src\store\user.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"f:\study\design\canvas\apps\jebet\src\types\workspace.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 2, 3, 55
"f:\study\design\canvas\apps\jebet\src\utils\board.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\study\design\canvas\apps\jebet\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\study\design\canvas\apps\jebet\tailwind.config.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 96
"f:\study\design\canvas\apps\jebet\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 2, 29
"f:\study\design\canvas\apps\jebet\tsconfig.json", "JSON with Comments", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"f:\study\design\canvas\apps\jebet\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 3, 24
"f:\study\design\canvas\apps\jebet\vite.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 128, 20, 17, 575, 6822, 150, 89, 40, 2, 208, 558, 8609
