"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\jebet\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"f:\study\design\canvas\apps\jebet\package.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"f:\study\design\canvas\apps\jebet\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"f:\study\design\canvas\apps\jebet\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\study\design\canvas\apps\jebet\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\study\design\canvas\apps\jebet\src\components\auth\SignInContain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 3, 47
"f:\study\design\canvas\apps\jebet\src\components\board\DeleteCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 88
"f:\study\design\canvas\apps\jebet\src\components\board\DrawerFromCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 4, 64
"f:\study\design\canvas\apps\jebet\src\components\board\FromCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 3, 9, 277
"f:\study\design\canvas\apps\jebet\src\components\board\JoinCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 3, 167
"f:\study\design\canvas\apps\jebet\src\components\board\JoinWorkspaceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 4, 119
"f:\study\design\canvas\apps\jebet\src\components\board\RefreshInviteCode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 3, 130
"f:\study\design\canvas\apps\jebet\src\components\board\Router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"f:\study\design\canvas\apps\jebet\src\components\command\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"f:\study\design\canvas\apps\jebet\src\components\command\Theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 3, 3, 37
"f:\study\design\canvas\apps\jebet\src\components\shadui\DottedSeparator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 2, 46
"f:\study\design\canvas\apps\jebet\src\components\ui\InputOtp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
"f:\study\design\canvas\apps\jebet\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 56
